family,species,plant,LM,SEM,TEM
Orchidaceae,Goodyera repens,['1020564'],[],"['1020565', '1020566', '1020567']",[]
Malvaceae,Gossypium herbaceum,['2010282'],[],"['2010285', '2010286', '2010287']",[]
Bromeliaceae,Goudaea chrysostachys,[],[],"['2007875', '2007876', '2007874']",[]
Melastomataceae,Graffenrieda anomala,[],[],"['2003654', '2003650', '2003652']",[]
Melastomataceae,Graffenrieda colombiana,['2003336'],[],"['2003504', '2003510', '2003509']",[]
Crassulaceae,Graptopetalum bellum,['1018913'],[],"['1018915', '1018916', '1018917']",[]
Plantaginaceae,Gratiola officinalis,['1018482'],"['2013126', '2013127']","['1018483', '1018484', '1018485']",[]
Proteaceae,Grevillea banksii,['1015069'],[],"['1015070', '1015071', '1015072']",[]
Proteaceae,Grevillea juniperina,['1018383'],[],"['1018384', '1018385', '1018386']",[]
Malvaceae,Grewia eriocarpa,['2009536'],[],"['2009538', '2009540', '2009541']",[]
Malvaceae,Grewia falcistipula,[],"['2016096', '2016097']",[],[]
Malvaceae,Grewia similis,[],"['2016306', '2016307']",[],[]
Asteraceae,Grindelia chiloensis,[],"['2016717', '2016718']",[],[]
Malvaceae,Guazuma ulmifolia,[],[],"['2005466', '2005464', '2005460']",[]
Asteraceae,Guizotia abyssinica,[],"['2016327', '2016328']",[],[]
Gunneraceae,Gunnera chilensis,[],[],"['1010316', '1010317', '1010318']",[]
Gunneraceae,Gunnera insignis,['2001344'],[],"['2001352', '2001345', '2001351']",[]
Gunneraceae,Gunnera magellanica,[],"['2016570', '2016571']",[],[]
Bromeliaceae,Guzmania acuminata,['1016060'],[],"['1016061', '1016062', '1016063']",[]
Bromeliaceae,Guzmania brasiliensis,[],[],"['2017547', '2017549', '2017544']",[]
Bromeliaceae,Guzmania glomerata,['1017020'],[],"['1017021', '1017022', '1017023']",[]
Bromeliaceae,Guzmania mucronata,[],[],"['2003722', '2003726', '2003725']",[]
Bromeliaceae,Guzmania pseudospectabilis,[],[],"['1010063', '1010064', '1010065']",[]
Bromeliaceae,Guzmania roezlii,[],[],"['1215603', '1215600', '1215599']",[]
Bromeliaceae,Guzmania sanguinea,[],[],"['1200442', '1200443', '1200444']",[]
Bromeliaceae,Guzmania shuarum,[],[],"['1012479', '1012480', '1012481']",[]
Bromeliaceae,Guzmania virescens,[],[],"['1017158', '1017159', '1017160']",[]
Bromeliaceae,Guzmania vittata,[],[],"['2007886', '2007881', '2007880']",[]
Orchidaceae,Gymnadenia conopsea,['1020645'],[],"['1020646', '1020647', '1020648']",[]
Caryophyllaceae,Gymnocarpos decander,[],"['2017518', '2017519']",[],[]
Fabaceae,Gymnocladus dioica,[],"['2015796', '2015797']",[],[]
Fabaceae,Gymnocladus dioicus,['2000170'],[],"['2000173', '2000171', '2000175']",[]
Iridaceae,Gynandriris siysyrinchium,[],"['2013983', '2013984']",[],[]
Asteraceae,Gynura scandens,[],[],"['1014447', '1014448', '1014449']",[]
Caryophyllaceae,Gypsophila fastigiata,['1017955'],"['2014768', '2014769']","['1017956', '1017957', '1017958']",[]
Caryophyllaceae,Gypsophila paniculata,[],"['2014771', '2014772']",[],[]
Caryophyllaceae,Gypsophila perfoliata,['2010507'],[],"['2010509', '2010513', '2010511']",[]
Orchidaceae,Habenaria tridactylites,['1208650'],[],"['1208643', '1208641', '1208642']",[]
Gesneriaceae,Haberlea rhodopensis,['1010907'],"['2015373', '2015374']","['1010908', '1010909', '1010910']",[]
Amaranthaceae,Hablitzia tamnoides,['1014782'],[],"['1014783', '1014784', '1014785']",[]
Apiaceae,Hacquetia epipactis,['1011519'],"['2012403', '2012404']","['1020011', '1020012', '1020013']","['1022113', '1022114', '1022115']"
Amaryllidaceae,Haemanthus coccineus,['1208178'],[],"['1208169', '1208174', '1208173']",[]
Amaryllidaceae,Scadoxus cinnabarinus,[],"['2015802', '2015803']",[],[]
Proteaceae,Hakea kippistiana,['1016503'],[],"['1016504', '1016505', '1016506']",[]
Proteaceae,Hakea macraeana,['1010485'],[],"['1010487', '1010488', '1010489']",[]
Proteaceae,Hakea tenuifolia,['1019004'],[],"['1019006', '1019007', '1019013']",[]
Fabaceae,Halimodendron halodendron,[],"['2016168', '2016169']",[],[]
Haloragaceae,Haloragis erecta,[],[],"['2001197', '2001200', '2001201']",[]
Hamamelidaceae,Hamamelis vernalis,['1012494'],[],"['1012495', '1012496', '1012498']",[]
Rubiaceae,Hamelia papillosa,[],[],"['2008603', '2008606', '2008607']",[]
Orchidaceae,Hammarbya paludosa,['1202945'],[],"['1202135', '1202140', '1202136']",[]
Bignoniaceae,Handroanthus chrysanthus,['2005561'],[],"['2005568', '2005570', '2005565']",[]
Anacardiaceae,Harpephyllum caffrum,['1211664'],[],"['1211637', '1211635', '1211634']",[]
Acanthaceae,Harpochilus neesianus,[],[],"['1011150', '1011151', '1011152']",[]
Xanthorrhoeaceae,Haworthia herbacea,['1014685'],[],"['1014688', '1014689', '1014690']",[]
Xanthorrhoeaceae,Haworthia truncata,['1015044'],[],"['1015045', '1015046', '1015047']",[]
Bromeliaceae,Hechtia podantha,[],[],"['1215847', '1215845', '1215846']",[]
Bromeliaceae,Hechtia texensis,[],[],"['1014483', '1014484', '1014485']",[]
Araliaceae,Hedera helix,['1017942'],"['2012397', '2012398']","['1017943', '1017944', '1017945']",[]
Zingiberaceae,Hedychium coccineum,['1011497'],[],"['1011500', '1011501', '1011502']",[]
Zingiberaceae,Hedychium flavum,['1203859'],[],"['1203857', '1203860', '1203856']",[]
Zingiberaceae,Hedychium gardnerianum,['1016649'],"['2016048', '2016049']","['1016650', '1016651', '1016652']",[]
Chloranthaceae,Hedyosmum scaberrimum,['2002429'],[],"['2002437', '2002438', '2002430']",[]
Asteraceae,Hedypnois rhagadioloides,[],[],"['2000488', '2000490', '2000489']",[]
Fabaceae,Hedysarum hedysaroides,['1018607'],"['2012043', '2012044']","['1018608', '1018609', '1018610']",[]
Lythraceae,Heimia myrtifolia,['2002884'],[],"['2002892', '2002886', '2002888']",[]
Asteraceae,Helenium autumnale,['2002787'],[],"['2002792', '2002791', '2002789']",[]
Sarraceniaceae,Heliamphora heterodoxa,['1200627'],[],"['1200624', '1200620', '1200622']",[]
Cistaceae,Helianthemum alpestre,['2002349'],[],"['2002352', '2002350', '2002351']",[]
Cistaceae,Helianthemum apenninum,['1206994'],[],"['1206985', '1206990', '1206983']",[]
Cistaceae,Helianthemum canum,[],"['2012346', '2012347']",[],[]
Cistaceae,Helianthemum italicum,[],"['2015916', '2015917']",[],[]
Cistaceae,Helianthemum nummularium,[],"['2012349', '2012350']","['1019795', '1019796', '1019797']",[]
Cistaceae,Helianthemum pilosum,[],[],"['2002201', '2002202', '2002199']",[]
Cistaceae,Helianthemum syriacum,[],[],"['1210775', '1210773', '1210769']",[]
Cistaceae,Helianthemum villosum,['1017267'],[],"['1017269', '1017270', '1017271']",[]
Cistaceae,Helianthemum vulgare,['1015728'],[],"['1015730', '1015731', '1015732']",[]
Asteraceae,Helianthus annuus,['1012074'],"['2013500', '2013501']","['1012076', '1012077', '1012078']",[]
Asteraceae,Helianthus salicifolia,[],"['2016795', '2016796']",[],[]
Asteraceae,Helianthus tuberosus,['1213658'],"['2013503', '2013504']","['1213651', '1213659', '1213652']",[]
Asteraceae,Helichrysum bracteatum,[],"['2014807', '2014808']",[],[]
Asteraceae,Helichrysum cymosum,[],"['2016981', '2016982']",[],[]
Asteraceae,Helichrysum stoechas,[],[],"['2001101', '2001099', '2001095']",[]
Araceae,Helicodiceros muscivorus,[],[],[],"['1021873', '1021875', '1021874']"
Heliconiaceae,Heliconia angusta,['1011568'],[],"['1011569', '1011570', '1011571']",[]
Heliconiaceae,Heliconia rostrata,[],[],"['2003979', '2003985', '2003983']",[]
Heliconiaceae,Heliconia stricta,['1020441'],[],"['1020443', '1020444', '1020445']",[]
Scrophulariaceae,Heliohebe raoulii,['1203008'],[],"['1203004', '1203005', '1203006']",[]
Asteraceae,Heliopsis helianthoides,[],"['2015256', '2015257']",[],[]
Caryophyllaceae,Heliosperma alpestre,['1012370'],[],"['1012371', '1012372', '1012373']",[]
Ranunculaceae,Helleborus dumetorum,[],"['2015925', '2015926']",[],[]
Ranunculaceae,Helleborus foetidus,['1020547'],"['1020548', '1020549']","['1017496', '1017497', '1017498']","['1020552', '1020553', '1020554']"
Ranunculaceae,Helleborus lividus,[],"['2017643', '2017644']",[],[]
Ranunculaceae,Helleborus niger,['1016776'],"['1010117', '1010118']","['1018753', '1018754', '1018755']","['1016777', '1016778', '1016779']"
Ranunculaceae,Helleborus viridis,['1020533'],"['1020534', '1020535']","['1020538', '1020539', '1020541']","['1020544', '1020545', '1020546']"
Asteraceae,Helminthotheca echioides,['1018503'],"['2016804', '2016805']","['1018504', '1018505', '1018506']",[]
Melanthiaceae,Heloniopsis kawanoi,[],[],"['2005938', '2005937', '2005936']",[]
Apiaceae,Helosciadium repens,[],"['2014352', '2014353']",[],[]
Cornaceae,Helwingia japonica,[],"['2017035', '2017036']","['2006286', '2006285', '2006289']","['1013515', '1013516', '1013517']"
Xanthorrhoeaceae,Hemerocallis fulva,['1021203'],"['1021204', '2013827']","['1021206', '1021205', '1021207']","['1021211', '1021212', '1021213']"
Acanthaceae,Hemigraphis colorata,['1011095'],[],"['1011097', '1011098', '1011099']",[]
Acanthaceae,Hemigraphis primulaefolia,['1017818'],[],"['1017819', '1017820', '1017821']",[]
Ranunculaceae,Hepatica nobilis,['1016780'],"['1012884', '1012885']","['1012887', '1012888', '1012890']","['1016781', '1016782', '1016783']"
Ranunculaceae,Hepatica transsylvanica,['1010848'],[],"['1010849', '1010850', '1010851']",[]
Caprifoliaceae,Heptacodium miconioides,['1212880'],[],"['1212879', '1212881', '1212882']",[]
Apiaceae,Heracleum austriacum,[],"['2014777', '2014778']","['2003539', '2003534', '2003537']",[]
Apiaceae,Heracleum mantegazzianum,[],"['2012499', '2012500']",[],[]
Apiaceae,Heracleum sphondylium,[],"['2012496', '2012497']","['2002063', '2002067', '2002064']",[]
Apiaceae,Heracleum wallichii,[],"['2015580', '2015581']",[],[]
Orchidaceae,Herminium monorchis,['1202898'],[],"['1201553', '1201554', '1201555']",[]
Caryophyllaceae,Herniaria alpina,['2004453'],[],"['2004458', '2004456', '2004460']",[]
Caryophyllaceae,Herniaria glabra,['1022389'],['1022390'],"['1022391', '1022392', '1022393']","['1022399', '1022400', '1022401']"
Brassicaceae,Hesperis matronalis,['1016067'],"['2011452', '2011453']","['1016068', '1016069', '1016070']",[]
Brassicaceae,Hesperis sylvestris,[],"['2018148', '2018149']",[],[]
Brassicaceae,Hesperis tristis,['1013664'],"['2014783', '2014784']","['1013665', '1013666', '1013667']",[]
Malpighiaceae,Heteropterys minutiflora,['2007682'],[],"['2007683', '2007684', '2007691']",[]
Saxifragaceae,Heuchera micrantha,[],[],"['2018448', '2018446', '2018445']",[]
Saxifragaceae,Heuchera sanguinea,['1019758'],"['2015184', '2015185']","['1019759', '1019760', '1019761']",[]
Convolvulaceae,Hewittia malabarica,[],[],"['2006565', '2006562', '2006568']",[]
Malvaceae,Hibiscus aponeurus,[],"['2016297', '2016298']",[],[]
Malvaceae,Hibiscus rosa-sinensis,[],"['2012694', '2012695']",[],[]
Malvaceae,Hibiscus schizopetalus,['1019900'],[],"['1019903', '1019904', '1019905']",[]
Malvaceae,Hibiscus syriacus,['1015409'],"['2012274', '2012275']","['1015410', '1015411', '1015412']",[]
Malvaceae,Hibiscus tiliaceus,['2008032'],[],"['2008036', '2008033', '2008034']",[]
Malvaceae,Hibiscus trionum,[],"['2012277', '2012278']","['1012092', '1012093', '1012094']",[]
Asteraceae,Hieracium alpinum,[],"['2013791', '2013792']",[],[]
Asteraceae,Hieracium angustifolium,['2002468'],[],"['2002473', '2002475', '2002476']",[]
Asteraceae,Hieracium aurantiacum,[],"['2013785', '2013786']",[],[]
Asteraceae,Hieracium bauhinii,[],"['2014786', '2014787']",[],[]
Asteraceae,Hieracium bupleuroides,[],"['2018433', '2018434']",[],[]
Asteraceae,Hieracium cymosum,[],"['2014789', '2014790']",[],[]
Asteraceae,Hieracium echioides,[],"['2014792', '2014793']",[],[]
Asteraceae,Hieracium hoppeanum,['1016259'],[],"['1016260', '1016261', '1016262']",[]
Asteraceae,Hieracium intybaceum,[],"['2014795', '2014796']",[],[]
Asteraceae,Hieracium inuloides,[],"['2014798', '2014799']",[],[]
Asteraceae,Hieracium lachenalii,[],"['2014801', '2014802']",[],[]
Asteraceae,Hieracium laevigatum,[],"['2016117', '2016118']",[],[]
Asteraceae,Hieracium maranzae,[],"['2016696', '2016697']",[],[]
Asteraceae,Hieracium pilosella,[],"['2013782', '2013783']",[],[]
Asteraceae,Hieracium piloselloides,[],"['2014804', '2014805']",[],[]
Asteraceae,Hieracium racemosum,[],[],"['2002763', '2002766', '2002764']",[]
Asteraceae,Hieracium umbellatum,[],"['2013788', '2013789']",[],[]
Rubiaceae,Hillia triflora,['2002136'],[],"['2002193', '2002137', '2002192']",[]
Orchidaceae,Himantoglossum adriaticum,['1013884'],[],"['1013885', '1013886', '1013887']",[]
Orchidaceae,Himantoglossum comperianum,['1202602'],[],"['1202601', '1202603', '1202605']",[]
Orchidaceae,Himantoglossum metlesicsianum,['1202782'],[],"['1202776', '1202778', '1202777']",[]
Orchidaceae,Himantoglossum robertianum,['1202623'],[],"['1202621', '1202624', '1202627']",[]
Campanulaceae,Hippobroma longiflora,['2001440'],[],"['2001434', '2001433', '2001437']",[]
Fabaceae,Hippocrepis comosa,[],"['2012037', '2012038']",[],[]
Fabaceae,Hippocrepis emerus,['1010953'],"['2014190', '2014191']","['1010954', '1010955', '1010956']",[]
Euphorbiaceae,Hippomane mancinella,['2017045'],[],"['2017052', '2017051', '2017054']",[]
Elaeagnaceae,Hippophae rhamnoides,['1019924'],"['2012298', '2012299']","['1019925', '1019926', '1019927']",[]
Rubiaceae,Hoffmannia ghiesbreghtii,['1012204'],[],"['1012205', '1012206', '1012207']",[]
Bromeliaceae,Hohenbergia abbreviata,[],[],"['2008103', '2008102', '2008098']",[]
Bromeliaceae,Hohenbergia blanchetii,[],[],"['2004057', '2004058', '2004059']",[]
Bromeliaceae,Hohenbergia brachycephala,[],[],"['1213721', '1213723', '1213722']",[]
Bromeliaceae,Hohenbergia capitata,[],[],"['1215852', '1215850', '1215855']",[]
Bromeliaceae,Hohenbergia catingae,[],[],"['1215567', '1215572', '1215570']",[]
Bromeliaceae,Hohenbergia conquistensis,[],[],"['1215266', '1215264', '1215270']",[]
Bromeliaceae,Hohenbergia correia-arauji,[],[],"['2004061', '2004066', '2004062']",[]
Bromeliaceae,Hohenbergia distans,[],[],"['2007887', '2007890', '2007889']",[]
Bromeliaceae,Hohenbergia jamaicana,[],[],"['1214711', '1214709', '1214715']",[]
Bromeliaceae,Hohenbergia leopoldo-horstii,[],[],"['2001114', '2001110', '2001111']",[]
Bromeliaceae,Hohenbergia proctori,[],[],"['1013932', '1013933', '1013934']",[]
Bromeliaceae,Hohenbergia ramageana,[],[],"['1215015', '1215011', '1215010']",[]
Bromeliaceae,Hohenbergia stellata,[],[],"['1011118', '1011119', '1011120']",[]
Lardizabalaceae,Holboellia coriacea,['1013348'],[],"['1013350', '1013351', '1013352']",[]
Poaceae,Holcus lanatus,[],"['2014052', '2014053']",[],[]
Caryophyllaceae,Holosteum umbellatum,['1021760'],"['2011086', '2011087']","['1021761', '1021762', '1021763']",[]
Iridaceae,Homeria collina,['1210171'],[],"['1210168', '1210172', '1210174']",[]
Asteraceae,Homogyne alpina,['1016575'],"['2013557', '2013558']","['1016576', '1016577', '1016578']",[]
Asteraceae,Homogyne discolor,['2008796'],"['2014810', '2014811']","['2008801', '2008803', '2008802']",[]
Asteraceae,Homogyne sylvestris,[],"['2014813', '2014814']",[],[]
Euphorbiaceae,Homonoia riparia,['2005571'],[],"['2005575', '2005577', '2005576']",[]
Hyacinthaceae,Honorius nutans,[],"['2016687', '2016688']",[],[]
Apocynaceae,Hoodia flava,['1013748'],[],"['1013751', '1013752', '1013753']",[]
Poaceae,Hordeum bulbosum,[],[],"['1214047', '1214048', '1214044']",[]
Poaceae,Hordeum murinum,['1016929'],[],"['1016930', '1016931', '1016932']",[]
Lamiaceae,Horminum pyrenaicum,['1014910'],[],"['1014911', '1014912', '1014913']",[]
Brassicaceae,Hornungia alpina,['2003540'],"['2016507', '2016508']","['2003547', '2003549', '2003543']",[]
Brassicaceae,Hornungia petraea,['1018589'],"['2011539', '2011540']","['1018590', '1018591', '1018592']",[]
Asparagaceae,Hosta plantaginea,['1014843'],[],"['1014844', '1014845', '1014846']",[]
Asparagaceae,Hosta ventricosa,[],"['2015346', '2015347']",[],[]
Piperaceae,Houttuynia cordata,[],"['2015787', '2015788']",[],[]
Apocynaceae,Hoya australis,['1018046'],[],"['1018047', '1018048', '1018049']",[]
Apocynaceae,Hoya carnosa,['1203640'],[],"['1203634', '1203637', '1203639']",[]
Apocynaceae,Hoya multiflora,['1011504'],[],"['1011506', '1011507', '1011508']",[]
Brassicaceae,Hugueninia tanacetifolia,['2001869'],[],"['2001875', '2001946', '2001871']",[]
Cannabaceae,Humulus lupulus,[],"['2010987', '2010988']","['1014852', '1014853', '1014854']",[]
Papaveraceae,Hunnemannia fumariifolia,['2006680'],[],"['2006688', '2006681', '2006682']",[]
Hyacinthaceae,Hyacinthoides hispanica,[],[],"['2000195', '2000203', '2000196']",[]
Hyacinthaceae,Hyacinthus nonscripta,[],"['2016900', '2016901']",[],[]
Hyacinthaceae,Hyacinthus orientalis,[],"['2013911', '2013912']",[],[]
Hydrangeaceae,Hydrangea heteromalla,[],[],"['2000215', '2000216', '2000217']",[]
Hydrangeaceae,Hydrangea macrophylla,[],"['2016159', '2016160']",[],[]
Hydrocharitaceae,Hydrocharis morsus-ranae,[],"['2013803', '2013804']","['2000722', '2000724', '2000723']",[]
Araliaceae,Hydrocotyle mexicana,['2010719'],[],"['2010725', '2010720', '2010721']",[]
Boraginaceae,Hydrophyllum canadense,['1016955'],[],"['1016956', '1016957', '1016958']",[]
Papaveraceae,Hylomecon japonica,[],[],"['2006689', '2006695', '2006694']",[]
Amaryllidaceae,Hymenocallis littoralis,['1014010'],"['2015754', '2015755']","['1014012', '1014013', '1014014']",[]
Amaryllidaceae,Hymenocallis tubiflora,['1209381'],[],"['1209371', '1209376', '1209375']",[]
Rubiaceae,Hymenodictyon septentrionale,['2005239'],[],"['2005241', '2005243', '2005245']",[]
Pittosporaceae,Hymenosporum flavum,[],"['2015745', '2015746']",[],[]
Solanaceae,Hyoscyamus albus,[],"['2013025', '2013024']",[],[]
Solanaceae,Hyoscyamus niger,['1014706'],"['1014707', '2013021']","['1014708', '1014709', '1014710']",[]
Asteraceae,Hyoseris scabra,[],[],"['2009918', '2009919', '2009913']",[]
Poaceae,Hyparrhenia hirta,['2000377'],[],"['2000384', '2000383', '2000385']",[]
Papaveraceae,Hypecoum imberbe,['2000387'],[],"['2000395', '2000391', '2000389']",[]
Papaveraceae,Hypecoum procumbens,['2006527'],[],"['2006482', '2006484', '2006479']",[]
Hypericaceae,Hypericum aegypticum,[],[],"['1214508', '1214511', '1214509']",[]
Hypericaceae,Hypericum dubium,[],"['2014816', '2014817']",[],[]
Hypericaceae,Hypericum elatum,['1202562'],[],"['1202564', '1202559', '1202560']",[]
Hypericaceae,Hypericum empetrifolium,[],"['2015367', '2015368']",[],[]
Hypericaceae,Hypericum hirsutum,['1018525'],[],"['1018526', '1018527', '1018528']",[]
Hypericaceae,Hypericum irazuense,['2002491'],[],"['2002496', '2002499', '2002497']",[]
Hypericaceae,Hypericum lanceolatum,[],"['2016609', '2016610']",[],[]
Hypericaceae,Hypericum laricifolium,[],"['2015937', '2015938']",[],[]
Hypericaceae,Hypericum maculatum,[],"['2012310', '2012311']",[],[]
Hypericaceae,Hypericum monogynum,[],"['2016594', '2016595']",[],[]
Hypericaceae,Hypericum montanum,[],"['2012304', '2012305']",[],[]
Hypericaceae,Hypericum olympicum,[],"['2014238', '2014239']",[],[]
Hypericaceae,Hypericum patulum,['1210943'],[],"['1210939', '1210937', '1210941']",[]
Hypericaceae,Hypericum perfoliatum,[],"['2016501', '2016502']","['1216399', '1216404', '1216401']",[]
Hypericaceae,Hypericum perforatum,['1022191'],"['1022193', '1022194']","['1022196', '1022197', '1022198']","['1022202', '1022203', '1022204']"
Hypericaceae,Hypericum pulchrum,[],"['2012316', '2012317']",[],[]
Hypericaceae,Hypericum richeri,['2004955'],[],"['2004956', '2004960', '2004957']",[]
Hypericaceae,Hypericum tetrapterum,['1018945'],"['2012307', '2012308']","['1018946', '1018947', '1018948']",[]
Asteraceae,Hypochaeris maculata,['1014345'],"['2018214', '2018215']","['1014346', '1014347', '1014348']",[]
Asteraceae,Hypochaeris radicata,[],"['2013713', '2013714']",[],[]
Asteraceae,Hypochaeris uniflora,['2002213'],[],"['2002214', '2002217', '2002216']",[]
Acanthaceae,Hypoestes phyllostachya,['1011832'],[],"['1011833', '1011834', '1011835']",[]
Hypoxidaceae,Hypoxis hemerocallidea,[],"['2016873', '2016874']","['2006297', '2006295', '2006296']",[]
Lamiaceae,Hyptis suaveolens,['2005962'],[],"['2005968', '2005965', '2005969']",[]
Lamiaceae,Hyssopus officinalis,['1023325'],"['1023327', '1023328']","['1023335', '1023336', '1019944']","['1023342', '1023343', '1023348']"
Brassicaceae,Iberis carnosa,['2003239'],[],"['2003241', '2003244', '2003240']",[]
Brassicaceae,Iberis pinnata,[],"['2014819', '2014820']",[],[]
Brassicaceae,Iberis umbellata,['2010003'],"['2011554', '2011555']","['2010010', '2010008', '2010011']",[]
Martyniaceae,Ibicella lutea,[],[],"['1020381', '1020382', '1020383']",[]
Aquifoliaceae,Ilex aquifolium,['1017081'],"['2018103', '2018104']","['1017082', '1017083', '1017084']",[]
Balsaminaceae,Impatiens balfourii,[],[],"['1015972', '1015973', '1015974']",[]
Balsaminaceae,Impatiens columbaria,['1015252'],[],"['1015253', '1015254', '1015255']",[]
Balsaminaceae,Impatiens glandulifera,['1012754'],"['2012202', '2012203']","['1012756', '1012755', '1012757']",[]
Balsaminaceae,Impatiens nolitangere,[],"['2012196', '2012197']",[],[]
Balsaminaceae,Impatiens parviflora,['1015457'],"['2012199', '2012200']","['1015458', '1015459', '1015460']",[]
Balsaminaceae,Impatiens paucidentata,['1202473'],[],"['1202076', '1202074', '1202077']",[]
Balsaminaceae,Impatiens pseudoviola,['1216042'],[],"['1216040', '1216038', '1216035']",[]
Balsaminaceae,Impatiens walleriana,[],"['2015175', '2015176']",[],[]
Fabaceae,Indigofera argyraea,[],"['2016093', '2016094']",[],[]
Asteraceae,Inula britannica,['1019277'],"['2013479', '2013480']","['1019278', '1019279', '1019280']",[]
Asteraceae,Inula conyza,['1012105'],[],"['1012106', '1012107', '1012109']",[]
Asteraceae,Inula ensifolia,['1012714'],"['2013476', '2013477']","['1012715', '1012716', '1012717']",[]
Asteraceae,Inula helenium,[],"['2013470', '2013471']",[],[]
Asteraceae,Inula hirta,['1014644'],"['2014822', '2014823']","['1014645', '1014646', '1014647']",[]
Asteraceae,Inula salicina,[],"['2013473', '2013474']",[],[]
Asteraceae,Inula thapsoides,[],"['2015568', '2015569']",[],[]
Asteraceae,Inula verbascifolia,['2009205'],[],"['2009208', '2009207', '2009211']",[]
Solanaceae,Iochroma grandiflora,[],"['2016603', '2016604']",[],[]
Amaryllidaceae,Ipheion uniflorum,['2004575'],[],"['2004576', '2004579', '2004577']",[]
Convolvulaceae,Ipomoea aquatica,['2006570'],"['2016267', '2016268']","['2006629', '2006624', '2006630']",[]
Convolvulaceae,Ipomoea batatas,[],"['2016333', '2016334']","['1012733', '1012734', '1012735']",[]
Convolvulaceae,Ipomoea caerulea,[],[],"['1017960', '1017961', '1017962']",[]
Convolvulaceae,Ipomoea cheirophylla,['2005835'],[],"['2005837', '2005840', '2005841']",[]
Convolvulaceae,Ipomoea cholulensis,['1213900'],[],"['1213902', '1213899', '1213897']",[]
Convolvulaceae,Ipomoea lobata,[],[],"['2010524', '2010519', '2010522']",[]
Convolvulaceae,Ipomoea quamoclit,['2005346'],[],"['2005354', '2005352', '2005350']",[]
Convolvulaceae,Ipomoea tricolor,[],"['2015322', '2015323']",[],[]
Iridaceae,Iris adriatica,['1213946'],[],"['1213952', '1213947', '1213954']",[]
Iridaceae,Iris aphylla,['1214059'],[],"['1214065', '1214061', '1214058']",[]
Iridaceae,Iris attica,['1213880'],[],"['1213875', '1213878', '1213872']",[]
Iridaceae,Iris bucharica,['1011225'],[],"['1011226', '1011227', '1011228']",[]
Iridaceae,Iris cengialti,[],[],"['1213979', '1213978', '1213976']",[]
Iridaceae,Iris croatica,['2001742'],[],"['1214350', '1214353', '1214349']",[]
Iridaceae,Iris germanica,[],[],"['1214556', '1214555', '1214560']",[]
Iridaceae,Iris graeberiana,['1019483'],[],"['1019485', '1019486', '1019487']",[]
Iridaceae,Iris graminea,['1014426'],"['2013986', '2013987']","['1014427', '1014428', '1014429']",[]
Iridaceae,Iris histrioides,[],[],"['1022031', '1022032', '1022033']","['1022038', '1022039']"
Iridaceae,Iris hookeriana,['1204000'],[],"['1204003', '1203998', '1204002']",[]
Iridaceae,Iris humilis,[],"['2018172', '2018173']",[],[]
Iridaceae,Iris illyrica,['1213972'],[],"['1213970', '1213969', '1213974']",[]
Iridaceae,Iris japonica,['2004584'],[],"['2004587', '2004592', '2004588']",[]
Iridaceae,Iris korolkowi,['1207975'],[],"['1207978', '1207980', '1207974']",[]
Iridaceae,Iris lactea,['1202734'],[],"['1202730', '1202731', '1202728']",[]
Iridaceae,Iris latifolia,['2006918'],[],"['2006923', '2006919', '2006920']",[]
Iridaceae,Iris missouriensis,[],[],"['2018321', '2018318', '2018323']",[]
Iridaceae,Iris pallida,[],[],"['1214563', '1214562', '1214564']",[]
Iridaceae,Iris pseudacorus,['1019514'],"['2013992', '2013993']","['1019515', '1019516', '1019517']",[]
Iridaceae,Iris pseudopallida,['1214224'],[],"['1214221', '1214223', '1214218']",[]
Iridaceae,Iris pumila,['1018413'],"['1014298', '1014299']","['1018414', '1018415', '1018416']","['1014301', '1014302', '1014303']"
Iridaceae,Iris reichenbachii,['1015888'],[],"['1015889', '1015890', '1015891']",[]
Iridaceae,Iris sibirica,['1019507'],"['2013989', '2013990']","['1019508', '1019509', '1019510']",[]
Iridaceae,Iris spuria,['1018450'],[],"['1018451', '1018452', '1018453']",[]
Iridaceae,Iris tectorum,['1212526'],[],"['1212529', '1212524', '1212533']",[]
Iridaceae,Iris variegata,['1216500'],"['2013995', '2013996']","['1214519', '1214518', '1214517']",[]
Iridaceae,Iris winogradowii,['1010163'],[],"['1010165', '1010166', '1010167']",[]
Brassicaceae,Isatis tinctoria,['1019148'],"['2011443', '2011444']","['1019149', '1019150', '1019151']",[]
Proteaceae,Isopogon dawsonii,['1018390'],[],"['1018391', '1018392', '1018393']",[]
Ranunculaceae,Isopyrum thalictroides,['1016518'],"['1016519', '1016520']","['1016522', '1016523', '1016525']","['1016528', '1016529', '1016530']"
Asteraceae,Iva xanthiifolia,[],[],"['1207002', '1207003', '1207006']",[]
Rubiaceae,Ixora coccinea,['1206293'],[],"['1206290', '1206289', '1206291']",[]
Rubiaceae,Ixora finlaysoniana,['2005468'],[],"['2005475', '2005471', '2005476']",[]
Bignoniaceae,Jacaranda mimosaefolia,[],"['2015934', '2015935']",[],[]
Bignoniaceae,Jacaranda mimosifolia,['2018375'],"['2018441', '2018440']","['2018378', '2018376', '2018377']",[]
Asteraceae,Jacobaea incana,['2006302'],[],"['2006307', '2006305', '2006306']",[]
Asteraceae,Jacobaea maritima,[],"['2017735', '2017736']",[],[]
Acanthaceae,Jacobinia carnea,[],"['2015493', '2015494']",[],[]
